200607 110150.345|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Admin\Desktop\CTDL_GT_TS\pc2Client\pc2Client\bin\logs directory.
200607 110150.345|INFO|AWT-EventQueue-0|info|
200607 110150.345|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_201 build 5102 Windows 10 10.0 (amd64) 
200607 110150.345|INFO|AWT-EventQueue-0|info|Login: 0911 (aka team911)
200607 110150.346|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\Admin\Desktop\CTDL_GT_TS\pc2Client\pc2Client\bin
200607 110150.346|INFO|AWT-EventQueue-0|startLog|Process id is 8444@DESKTOP-S30D2EK
200607 110150.347|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:51002 as TEAM911 @ site 0
200607 110150.347|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM911 @ site 0
200607 110150.352|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM911 @ site 0 -> SERVER0 @ site 0
200607 110150.353|INFO|Thread-4|run|send(Serializable)
200607 110150.355|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM911 @ site 0 -> SERVER0 @ site 0
200607 110150.355|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
200607 110150.426|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200607 110150.474|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #6972 SERVER0 @ site 1 -> TEAM911 @ site 1
200607 110150.474|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #6972, o#6972 ) recieveObject
200607 110150.474|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-554326359464029056)
200607 110150.474|INFO|Thread-5|dumpPacket|    To: TEAM911 @ site 1
200607 110150.475|INFO|Thread-5|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@27160c71
200607 110150.475|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@29d1f6e3
200607 110150.475|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200607 110150.475|INFO|Thread-5|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@2dee6701
