200610 180339.097|CONFIG|Thread-7|setFileHandlers|Now logging to C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\pc2Client\pc2Client\bin\logs directory.
200610 180339.097|INFO|Thread-7|info|
200610 180339.097|INFO|Thread-7|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_201 build 5102 Windows 10 10.0 (amd64) 
200610 180339.097|INFO|Thread-7|info|Login: team130 (aka team130)
200610 180339.097|INFO|Thread-7|startLog|Working directory is C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\pc2Client\pc2Client\bin
200610 180339.097|INFO|Thread-7|startLog|Process id is 18792@DESKTOP-S30D2EK
200610 180339.098|INFO|Thread-7|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
200610 180339.108|INFO|Thread-7|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
200610 180339.306|INFO|Thread-7|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200610 180339.307|INFO|Thread-7|info|handlePacket end Packet[LOGIN_SUCCESS] #510 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180339.307|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #510 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180350.406|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 7 C/C++ file: C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\2.cpp
200610 180350.408|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 180350.408|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 180350.515|INFO|Thread-10|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #514 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180350.515|INFO|Thread-10|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #514, o#514 ) recieveObject
200610 180350.515|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180350.515|INFO|Thread-10|dumpPacket|    To: TEAM130 @ site 1
200610 180350.515|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 QUEUED_FOR_COMPUTER_JUDGEMENT 3 min 209678ms from TEAM130 @ site 1 id Run--7871644841149994831 problem KIEM_TRA_-_BAI_7--5781807886711587063 lang C/C++-8920418238657793213
200610 180350.515|INFO|Thread-10|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #514 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180350.515|INFO|Thread-10|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #514, o#514 ) handlePacket
200610 180350.516|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180350.516|INFO|Thread-10|dumpPacket|    To: TEAM130 @ site 1
200610 180350.516|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 QUEUED_FOR_COMPUTER_JUDGEMENT 3 min 209678ms from TEAM130 @ site 1 id Run--7871644841149994831 problem KIEM_TRA_-_BAI_7--5781807886711587063 lang C/C++-8920418238657793213
200610 180351.174|INFO|Thread-10|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #514 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180352.619|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #519 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180352.619|INFO|Thread-11|dumpPacket|Packet RUN_JUDGEMENT (Seq #519, o#519 ) recieveObject
200610 180352.619|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180352.619|INFO|Thread-11|dumpPacket|    To: TEAM130 @ site 1
200610 180352.619|INFO|Thread-11|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord--3430765881262659816
200610 180352.619|INFO|Thread-11|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 180352.620|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 JUDGED 3 min 209678ms from TEAM130 @ site 1 id Run--7871644841149994831 problem KIEM_TRA_-_BAI_7--5781807886711587063 lang C/C++-8920418238657793213
200610 180352.621|INFO|Thread-11|info|handlePacket start Packet[RUN_JUDGEMENT] #519 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180352.621|INFO|Thread-11|dumpPacket|Packet RUN_JUDGEMENT (Seq #519, o#519 ) handlePacket
200610 180352.621|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180352.621|INFO|Thread-11|dumpPacket|    To: TEAM130 @ site 1
200610 180352.621|INFO|Thread-11|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes--1191553361663449222 id JudgementRecord--3430765881262659816
200610 180352.621|INFO|Thread-11|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 180352.621|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 JUDGED 3 min 209678ms from TEAM130 @ site 1 id Run--7871644841149994831 problem KIEM_TRA_-_BAI_7--5781807886711587063 lang C/C++-8920418238657793213
200610 180355.080|INFO|Thread-11|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 3 JUDGED 3 min 209678ms from TEAM130 @ site 1 id Run--7871644841149994831 problem KIEM_TRA_-_BAI_7--5781807886711587063 lang C/C++-8920418238657793213; runFiles=null
200610 180355.080|INFO|Thread-11|runChanged|Event not for me: sent to null but my ID is TEAM130 @ site 1
200610 180355.080|INFO|Thread-11|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #519 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180821.679|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 1 C/C++ file: C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\1.cpp
200610 180821.680|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 180821.680|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 180821.768|INFO|Thread-13|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #655 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180821.769|INFO|Thread-13|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #655, o#655 ) recieveObject
200610 180821.769|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180821.769|INFO|Thread-13|dumpPacket|    To: TEAM130 @ site 1
200610 180821.769|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 15 QUEUED_FOR_COMPUTER_JUDGEMENT 8 min 480947ms from TEAM130 @ site 1 id Run-6055339920888081048 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
200610 180821.769|INFO|Thread-13|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #655 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180821.769|INFO|Thread-13|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #655, o#655 ) handlePacket
200610 180821.769|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180821.769|INFO|Thread-13|dumpPacket|    To: TEAM130 @ site 1
200610 180821.770|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 15 QUEUED_FOR_COMPUTER_JUDGEMENT 8 min 480947ms from TEAM130 @ site 1 id Run-6055339920888081048 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
200610 180824.328|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #661 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180824.328|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #661, o#661 ) recieveObject
200610 180824.328|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180824.329|INFO|Thread-14|dumpPacket|    To: TEAM130 @ site 1
200610 180824.329|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Wrong_Answer-5771467716912978813 id JudgementRecord--2739640182388378378
200610 180824.329|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 180824.329|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 15 JUDGED 8 min 480947ms from TEAM130 @ site 1 id Run-6055339920888081048 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
200610 180824.329|INFO|Thread-14|info|handlePacket start Packet[RUN_JUDGEMENT] #661 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180824.329|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #661, o#661 ) handlePacket
200610 180824.329|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 180824.329|INFO|Thread-14|dumpPacket|    To: TEAM130 @ site 1
200610 180824.329|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Wrong_Answer-5771467716912978813 id JudgementRecord--2739640182388378378
200610 180824.329|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200610 180824.329|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 15 JUDGED 8 min 480947ms from TEAM130 @ site 1 id Run-6055339920888081048 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
200610 180825.125|INFO|Thread-14|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 15 JUDGED 8 min 480947ms from TEAM130 @ site 1 id Run-6055339920888081048 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213; runFiles=null
200610 180825.125|INFO|Thread-14|runChanged|Event not for me: sent to null but my ID is TEAM130 @ site 1
200610 180825.125|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #661 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 180825.406|INFO|Thread-13|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #655 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 181252.910|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 1 C/C++ file: C:\Users\Admin\Desktop\CTDL_GT_TS\Thuc Hanh\Buoi 2\1.cpp
200610 181252.911|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 181252.911|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM130 @ site 1 -> SERVER0 @ site 1
200610 181253.006|INFO|Thread-16|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #820 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 181253.006|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #820, o#820 ) recieveObject
200610 181253.007|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 181253.007|INFO|Thread-16|dumpPacket|    To: TEAM130 @ site 1
200610 181253.007|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 31 QUEUED_FOR_COMPUTER_JUDGEMENT 12 min 752175ms from TEAM130 @ site 1 id Run--7601793046533012665 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
200610 181253.007|INFO|Thread-16|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #820 SERVER0 @ site 1 -> TEAM130 @ site 1
200610 181253.007|INFO|Thread-16|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #820, o#820 ) handlePacket
200610 181253.007|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-4356663172451421221)
200610 181253.007|INFO|Thread-16|dumpPacket|    To: TEAM130 @ site 1
200610 181253.008|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 31 QUEUED_FOR_COMPUTER_JUDGEMENT 12 min 752175ms from TEAM130 @ site 1 id Run--7601793046533012665 problem KIEM_TRA_-_BAI_1-457810580858602380 lang C/C++-8920418238657793213
