200607 110150.494|CONFIG|Thread-5|setFileHandlers|Now logging to C:\Users\Admin\Desktop\CTDL_GT_TS\pc2Client\pc2Client\bin\logs directory.
200607 110150.494|INFO|Thread-5|info|
200607 110150.494|INFO|Thread-5|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_201 build 5102 Windows 10 10.0 (amd64) 
200607 110150.494|INFO|Thread-5|info|Login: team911 (aka team911)
200607 110150.494|INFO|Thread-5|startLog|Working directory is C:\Users\Admin\Desktop\CTDL_GT_TS\pc2Client\pc2Client\bin
200607 110150.494|INFO|Thread-5|startLog|Process id is 8444@DESKTOP-S30D2EK
200607 110150.495|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
200607 110150.505|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
200607 110150.691|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
200607 110150.691|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #6972 SERVER0 @ site 1 -> TEAM911 @ site 1
200607 110150.692|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #6972 SERVER0 @ site 1 -> TEAM911 @ site 1
200607 110208.089|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for CONTEST 8 - BAI 4 C/C++ file: C:\Users\Admin\Desktop\CTDL_GT_TS\Contest9\Solv\4.cpp
200607 110208.099|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM911 @ site 1 -> SERVER0 @ site 1
200607 110208.099|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM911 @ site 1 -> SERVER0 @ site 1
200607 110209.270|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #6974 SERVER0 @ site 1 -> TEAM911 @ site 1
200607 110209.270|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #6974, o#6974 ) recieveObject
200607 110209.270|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-554326359464029056)
200607 110209.270|INFO|Thread-8|dumpPacket|    To: TEAM911 @ site 1
200607 110209.270|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6841 QUEUED_FOR_COMPUTER_JUDGEMENT 14404 min 864262842ms from TEAM911 @ site 1 id Run-2674640008350016044 problem CONTEST_8_-_BAI_4--1308474007702855280 lang C/C==--4119658947411366989
200607 110209.271|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #6974 SERVER0 @ site 1 -> TEAM911 @ site 1
200607 110209.271|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #6974, o#6974 ) handlePacket
200607 110209.271|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-554326359464029056)
200607 110209.271|INFO|Thread-8|dumpPacket|    To: TEAM911 @ site 1
200607 110209.271|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6841 QUEUED_FOR_COMPUTER_JUDGEMENT 14404 min 864262842ms from TEAM911 @ site 1 id Run-2674640008350016044 problem CONTEST_8_-_BAI_4--1308474007702855280 lang C/C==--4119658947411366989
200607 110210.389|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #6974 SERVER0 @ site 1 -> TEAM911 @ site 1
200607 110213.169|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #6978 SERVER0 @ site 1 -> TEAM911 @ site 1
200607 110213.169|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #6978, o#6978 ) recieveObject
200607 110213.169|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-554326359464029056)
200607 110213.170|INFO|Thread-9|dumpPacket|    To: TEAM911 @ site 1
200607 110213.170|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE2 @ site 1 judgement Yes-9066713250127996839 id JudgementRecord-526181350130797248
200607 110213.170|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200607 110213.170|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 6841 JUDGED 14404 min 864262842ms from TEAM911 @ site 1 id Run-2674640008350016044 problem CONTEST_8_-_BAI_4--1308474007702855280 lang C/C==--4119658947411366989
200607 110213.170|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #6978 SERVER0 @ site 1 -> TEAM911 @ site 1
